Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,Region of Headquarters,Year,CSR Strategy Score,Community Score,Company Market Cap (EUR),ESG Controversies Score,ESG Score,Emissions Score,Innovation Score,Environmental Pillar Score,Governance Pillar Score,Human Rights Score,Independent Board Members,Management Score,Product Responsibility Score,Resource Use Score,Shareholders Score,Social Pillar Score,Total Debt Percentage of Total Equity,Workforce Score
KIZI.BO,Kizi Apparels Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.4018679,
KKCL.NS,Kewal Kiran Clothing Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,100,39.09913409,,,,,,,,,,,,0.165351,
KKSI.BO,K K Silk Mills Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,1.4744484,
KMDA.KL,Kamdar Group (M) Bhd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods Wholesale,Asia,2025,,,,,,,,,,,,,,,,,0.2217863,
KMDG.BO,Kamadgiri Fashion Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"4,693,070.91",,,,,,,,,,,,,,0.7433803,
KMFG.PK,Keemo Fashion Group Ltd,Textiles & Apparel,Apparel & Accessories,Apparel Wholesale,Asia,2025,,,"49,170,082.50",,,,,,,,,,,,,,,
KML.PSX,Kohinoor Mills Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,,,,,,,,,,,,,,,0.9374881,
KMR.HM,Mirae JSC,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,"5,451,428.59",,,,,,,,,,,,,,0.2597071,
KMTXI.RTS,Komiteks AO,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Europe,2025,,,,,,,,,,,,,,,,,1.1442399,
KNRK.BO,Konark Synthetic Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,1499.207921,
KOHI.PSX,Kohinoor Industries Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,,,,,,,,,,,,,,,,
KOHP.PSX,Kohinoor Spinning Mills Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,,,,,,,,,,,,,,,12.2603943,
KOHT.PSX,Kohinoor Textile Mills Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,,,,,,,,,,,,,,,0.3801322,
KORDS.IS,Kordsa Teknik Tekstil AS,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,Asia,2025,47.43,97.87,"186,876,949.52",100,81.65638146,93.48,28.8,67.84,73.67,86.54,28.57,89.08,85.13,88.58,39.79,90.54,1.083666,94.82
KOTX.PSX,Kohat Textile Mills Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,,,,,,,,,,,,,,,0.8247406,
KOUR.BO,Koura Fine Diamond Jewelry Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,,,,,,,,,,,,,,,0.5578149,
